DATE OCC,TIME OCC,AREA NAME,Total Score,LAT,LON
2020-01-04,0.0,Wilshire,70.0,34.0351,-118.3779
2020-01-04,1.0,Hollywood,70.0,34.0958,-118.3109
2020-01-04,2.0,Wilshire,90.0,34.0853,-118.3428
2020-01-04,3.0,Mission,45.0,34.3023,-118.4769
2020-01-04,4.0,Southwest,45.0,34.0256,-118.3224
2020-01-04,6.0,Mission,45.0,34.2231,-118.4553
2020-01-04,7.0,Mission,45.0,34.3061,-118.4383
2020-01-04,10.0,Hollywood,70.0,34.0926,-118.3234
2020-01-04,10.0,Hollywood,70.0,34.1018,-118.3056
2020-01-04,10.0,Southwest,70.0,34.0326,-118.3416
2020-01-04,10.0,Southwest,70.0,34.0347,-118.2792
2020-01-04,11.0,Hollywood,70.0,34.098,-118.3332
2020-01-04,11.0,Mission,90.0,34.306,-118.4413
2020-01-04,11.0,Mission,70.0,34.2355,-118.4676
2020-01-04,11.0,Southwest,70.0,34.0149,-118.3045
2020-01-04,11.0,Topanga,70.0,34.1935,-118.6425
2020-01-04,11.0,Wilshire,70.0,34.0351,-118.3779
2020-01-04,12.0,Southwest,70.0,34.0232,-118.3701
2020-01-04,12.0,Topanga,75.0,34.1888,-118.6369
2020-01-04,14.0,Hollywood,70.0,34.0933,-118.3025
2020-01-04,14.0,Mission,45.0,34.2248,-118.4516
2020-01-04,14.0,Wilshire,45.0,34.0853,-118.3474
2020-01-04,14.0,Wilshire,70.0,34.0569,-118.338
2020-01-04,15.0,Southwest,45.0,34.0256,-118.3374
2020-01-04,15.0,Topanga,70.0,34.2083,-118.5885
2020-01-04,16.0,Mission,45.0,34.2875,-118.455
2020-01-04,16.0,Southwest,70.0,34.0181,-118.2846
2020-01-04,16.0,Southwest,25.0,34.0147,-118.3111
2020-01-04,18.0,Southwest,70.0,34.0146,-118.2872
2020-01-04,18.0,Topanga,70.0,34.2011,-118.5906
2020-01-04,20.0,Hollywood,70.0,34.0907,-118.3404
2020-01-04,20.0,Southwest,140.0,34.0093,-118.3437
2020-01-04,21.0,Hollywood,45.0,34.0935,-118.3245
2020-01-04,21.0,Topanga,70.0,34.1974,-118.6044
2020-01-04,22.0,Hollywood,70.0,34.0907,-118.3384
2020-01-04,22.0,Southwest,140.0,34.0291,-118.3066
2020-01-04,22.0,Topanga,70.0,34.1865,-118.6146
2020-01-04,23.0,Hollywood,45.0,34.0998,-118.3479
2020-01-04,23.0,Southwest,140.0,34.0142,-118.3281
2020-01-05,0.0,Hollywood,70.0,34.0994,-118.3093
2020-01-05,0.0,Hollywood,70.0,34.0944,-118.331
2020-01-05,0.0,Mission,45.0,34.3007,-118.4228
2020-01-05,0.0,Mission,45.0,34.2153,-118.4519
2020-01-05,0.0,Southwest,70.0,34.0109,-118.3002
2020-01-05,1.0,Mission,70.0,34.2247,-118.4699
2020-01-05,1.0,Topanga,70.0,34.2198,-118.6003
2020-01-05,3.0,Hollywood,25.0,34.1016,-118.3348
2020-01-05,3.0,Hollywood,90.0,34.1113,-118.3335
2020-01-05,4.0,Hollywood,140.0,34.0835,-118.3288
2020-01-05,6.0,Southwest,70.0,34.0364,-118.3058
2020-01-05,9.0,Southwest,70.0,34.0109,-118.2915
2020-01-05,9.0,Topanga,70.0,34.1865,-118.6256
2020-01-05,10.0,Hollywood,45.0,34.107,-118.3214
2020-01-05,11.0,Topanga,70.0,34.2136,-118.5912
2020-01-05,13.0,Mission,70.0,34.2231,-118.4553
2020-01-05,13.0,Southwest,70.0,34.0241,-118.3351
2020-01-05,13.0,Southwest,70.0,34.0273,-118.2981
2020-01-05,13.0,Topanga,25.0,34.2047,-118.6016
2020-01-05,14.0,Hollywood,70.0,34.1185,-118.3542
2020-01-05,14.0,Topanga,25.0,34.1798,-118.6104
2020-01-05,14.0,Wilshire,70.0,34.0375,-118.3742
2020-01-05,15.0,Southwest,140.0,34.0045,-118.3214
2020-01-05,15.0,Topanga,70.0,34.1829,-118.6044
2020-01-05,15.0,Topanga,45.0,34.1733,-118.5974
2020-01-05,16.0,Southwest,70.0,34.0191,-118.3351
2020-01-05,17.0,Hollywood,45.0,34.0981,-118.3136
2020-01-05,17.0,Wilshire,70.0,34.0746,-118.3765
2020-01-05,19.0,Mission,90.0,34.2314,-118.4409
2020-01-05,20.0,Topanga,70.0,34.1937,-118.6272
2020-01-05,20.0,Topanga,45.0,34.1828,-118.6234
2020-01-05,20.0,Wilshire,70.0,34.0485,-118.3335
2020-01-05,21.0,Hollywood,70.0,34.1016,-118.3361
2020-01-05,21.0,Mission,45.0,34.2102,-118.4267
2020-01-05,21.0,Topanga,70.0,34.1974,-118.5994
2020-01-05,21.0,Wilshire,70.0,34.0459,-118.3454
2020-01-05,22.0,Mission,45.0,34.2758,-118.4479
2020-01-05,22.0,Southwest,70.0,34.0055,-118.3182
2020-01-05,22.0,Southwest,25.0,34.009,-118.3113
2020-01-05,22.0,Southwest,45.0,34.0274,-118.2867
2020-01-05,22.0,Southwest,70.0,34.0238,-118.3669
2020-01-05,22.0,Wilshire,45.0,34.0374,-118.3279
2020-01-05,23.0,Hollywood,70.0,34.1038,-118.3267
2020-01-06,0.0,Mission,45.0,34.2389,-118.4536
2020-01-06,1.0,Topanga,45.0,34.1701,-118.6277
2020-01-06,2.0,Hollywood,45.0,34.0962,-118.3415
2020-01-06,2.0,Southwest,70.0,34.0219,-118.3045
