DATETIME,Total Score,AREA NAME,LAT,LON
2025-01-05 22:00:00,86.20474,Wilshire,34.0374,-118.3279
2025-01-05 23:00:00,84.582,Hollywood,34.1038,-118.3267
2025-01-06 00:00:00,79.00002,Mission,34.2389,-118.4536
2025-01-06 01:00:00,73.92273,Topanga,34.1701,-118.6277
2025-01-06 02:00:00,80.74992,Hollywood,34.0962,-118.3415
2025-01-06 02:00:00,77.080284,Southwest,34.0219,-118.3045
2025-01-06 03:00:00,75.74887,Mission,34.23,-118.4402
2025-01-06 04:00:00,78.49731,Hollywood,34.1006,-118.3417
2025-01-06 05:00:00,77.53847,Hollywood,34.1035,-118.3147
2025-01-06 06:00:00,70.89813,Topanga,34.1847,-118.5888
2025-01-06 08:00:00,70.09843,Mission,34.3077,-118.4598
2025-01-06 08:00:00,73.56919,Southwest,34.0146,-118.313
2025-01-06 09:00:00,74.828705,Hollywood,34.1,-118.3056
2025-01-06 09:00:00,70.651436,Topanga,34.2234,-118.5932
2025-01-06 10:00:00,72.84753,Wilshire,34.0783,-118.3543
2025-01-06 11:00:00,74.63554,Hollywood,34.0908,-118.3277
2025-01-06 11:00:00,70.78861,Mission,34.2425,-118.44
2025-01-06 11:00:00,73.29694,Wilshire,34.0761,-118.3563
2025-01-06 12:00:00,74.89507,Hollywood,34.0944,-118.3593
2025-01-06 12:00:00,70.267876,Mission,34.3108,-118.4282
2025-01-06 12:00:00,74.52236,Southwest,34.0219,-118.3045
2025-01-06 13:00:00,75.27679,Southwest,34.0311,-118.2749
2025-01-06 13:00:00,74.496895,Wilshire,34.0623,-118.344
2025-01-06 14:00:00,75.743385,Wilshire,34.0375,-118.3742
2025-01-06 15:00:00,76.59295,Hollywood,34.0929,-118.3048
2025-01-06 15:00:00,74.12246,Mission,34.239,-118.4481
2025-01-06 16:00:00,78.80076,Southwest,34.0146,-118.3311
2025-01-06 16:00:00,77.42976,Wilshire,34.0403,-118.3764
2025-01-06 17:00:00,77.92185,Hollywood,34.1017,-118.3224
2025-01-06 17:00:00,80.11425,Southwest,34.0149,-118.3524
2025-01-06 18:00:00,81.44219,Southwest,34.0072,-118.3373
2025-01-06 18:00:00,79.27001,Wilshire,34.0708,-118.3563
2025-01-06 19:00:00,78.77207,Mission,34.2215,-118.4588
2025-01-06 19:00:00,82.30842,Southwest,34.0303,-118.3299
2025-01-06 19:00:00,79.78595,Topanga,34.2029,-118.5943
2025-01-06 20:00:00,79.6892,Mission,34.2428,-118.4675
2025-01-06 20:00:00,81.324684,Topanga,34.1938,-118.5884
2025-01-06 20:00:00,82.73818,Wilshire,34.0459,-118.3374
2025-01-06 21:00:00,82.06385,Hollywood,34.1036,-118.3049
2025-01-06 22:00:00,82.10714,Mission,34.2454,-118.4505
2025-01-06 22:00:00,86.61934,Southwest,34.0169,-118.3161
2025-01-06 22:00:00,85.71922,Wilshire,34.0761,-118.3626
2025-01-06 23:00:00,84.62002,Hollywood,34.1016,-118.3333
2025-01-06 23:00:00,88.23086,Southwest,34.0183,-118.3536
2025-01-07 00:00:00,83.15688,Hollywood,34.0997,-118.335
2025-01-07 00:00:00,78.955574,Mission,34.233,-118.4386
2025-01-07 00:00:00,73.19321,Wilshire,34.0762,-118.3543
2025-01-07 06:00:00,72.28945,Mission,34.2572,-118.4543
2025-01-07 07:00:00,70.64599,Topanga,34.2047,-118.6044
2025-01-07 07:00:00,72.458145,Wilshire,34.0418,-118.3248
2025-01-07 08:00:00,72.586586,Wilshire,34.0511,-118.3373
2025-01-07 10:00:00,71.96317,Topanga,34.1611,-118.6299
2025-01-07 11:00:00,71.42728,Topanga,34.22,-118.5885
2025-01-07 12:00:00,74.522934,Hollywood,34.0994,-118.3093
2025-01-07 12:00:00,70.332954,Mission,34.3061,-118.4383
2025-01-07 12:00:00,72.638466,Topanga,34.1912,-118.5941
2025-01-07 12:00:00,74.278114,Wilshire,34.0364,-118.3601
2025-01-07 13:00:00,75.74128,Southwest,34.0109,-118.3089
2025-01-07 14:00:00,73.64869,Mission,34.2165,-118.461
2025-01-07 14:00:00,76.16822,Southwest,34.0337,-118.2915
2025-01-07 15:00:00,73.00425,Mission,34.3167,-118.4752
2025-01-07 15:00:00,77.11269,Southwest,34.036,-118.289
2025-01-07 15:00:00,75.85177,Topanga,34.1569,-118.6058
2025-01-07 16:00:00,76.68297,Wilshire,34.0782,-118.3573
2025-01-07 17:00:00,77.98834,Hollywood,34.0944,-118.3201
2025-01-07 17:00:00,76.34844,Mission,34.2265,-118.4565
2025-01-07 17:00:00,79.8405,Southwest,34.0291,-118.3535
2025-01-07 18:00:00,75.88437,Mission,34.3077,-118.4133
2025-01-07 18:00:00,80.92669,Southwest,34.0282,-118.3133
2025-01-07 18:00:00,78.25154,Topanga,34.2061,-118.5694
2025-01-07 18:00:00,79.127045,Wilshire,34.0761,-118.3563
2025-01-07 19:00:00,82.59827,Southwest,34.0151,-118.3472
2025-01-07 20:00:00,83.92123,Southwest,34.0084,-118.3276
2025-01-07 21:00:00,82.34138,Topanga,34.2209,-118.6027
2025-01-07 22:00:00,83.477264,Hollywood,34.0889,-118.3244
2025-01-07 22:00:00,84.50254,Topanga,34.1908,-118.6541
2025-01-07 23:00:00,83.379234,Mission,34.2389,-118.4378
2025-01-07 23:00:00,87.78544,Southwest,34.0326,-118.3224
2025-01-08 00:00:00,79.0799,Southwest,34.033,-118.3583
2025-01-08 00:00:00,73.317635,Wilshire,34.0516,-118.3219
2025-01-08 01:00:00,76.7598,Mission,34.3088,-118.4532
2025-01-08 01:00:00,78.04394,Southwest,34.0165,-118.3002
2025-01-08 01:00:00,73.52012,Topanga,34.1878,-118.6161
2025-01-08 02:00:00,80.50768,Hollywood,34.0993,-118.3159
2025-01-08 02:00:00,76.78241,Mission,34.228,-118.4517
2025-01-08 04:00:00,75.26147,Southwest,34.0313,-118.3547
2025-01-08 04:00:00,72.28843,Wilshire,34.0524,-118.3711
2025-01-08 07:00:00,76.00658,Hollywood,34.0929,-118.3048
2025-01-08 09:00:00,74.382065,Hollywood,34.1271,-118.3196
2025-01-08 09:00:00,70.64176,Mission,34.2336,-118.4517
2025-01-08 09:00:00,70.793106,Topanga,34.2091,-118.6157
2025-01-08 10:00:00,71.886086,Topanga,34.1599,-118.6238
2025-01-08 10:00:00,73.12323,Wilshire,34.0558,-118.3649
2025-01-08 11:00:00,73.84542,Southwest,34.0336,-118.3441
2025-01-08 12:00:00,71.660515,Mission,34.2301,-118.4633
2025-01-08 12:00:00,74.44141,Southwest,34.0146,-118.2872
2025-01-08 14:00:00,75.54977,Hollywood,34.1036,-118.3137
2025-01-08 14:00:00,76.60308,Southwest,34.023,-118.351
2025-01-08 14:00:00,74.489265,Topanga,34.1942,-118.6234
2025-01-08 15:00:00,76.42302,Hollywood,34.0981,-118.3114
2025-01-08 17:00:00,77.80876,Hollywood,34.0993,-118.3092
2025-01-08 18:00:00,78.8837,Hollywood,34.1016,-118.3433
2025-01-08 18:00:00,78.00194,Topanga,34.2202,-118.5754
2025-01-08 19:00:00,78.50072,Mission,34.2318,-118.4553
2025-01-08 19:00:00,82.553795,Southwest,34.0082,-118.3263
2025-01-08 19:00:00,80.86855,Wilshire,34.0638,-118.3683
2025-01-08 20:00:00,82.43296,Wilshire,34.0557,-118.3254
2025-01-08 21:00:00,81.27118,Mission,34.2184,-118.4698
2025-01-08 21:00:00,83.016426,Topanga,34.1679,-118.5804
2025-01-08 22:00:00,86.478615,Southwest,34.011,-118.288
2025-01-08 22:00:00,85.76434,Wilshire,34.0604,-118.34
2025-01-08 23:00:00,85.639015,Topanga,34.201,-118.6003
2025-01-08 23:00:00,87.8117,Wilshire,34.0404,-118.3475
2025-01-09 00:00:00,79.32276,Southwest,34.0001,-118.3192
2025-01-09 00:00:00,73.44867,Wilshire,34.0498,-118.3706
2025-01-09 01:00:00,77.80305,Southwest,34.0327,-118.3101
2025-01-09 01:00:00,73.453354,Topanga,34.1878,-118.6161
2025-01-09 02:00:00,80.56634,Hollywood,34.0876,-118.3091
2025-01-09 04:00:00,73.58593,Mission,34.31,-118.4808
2025-01-09 07:00:00,75.78621,Hollywood,34.1042,-118.305
2025-01-09 07:00:00,73.25794,Southwest,34.0326,-118.3308
2025-01-09 09:00:00,74.926125,Hollywood,34.0907,-118.3386
2025-01-09 09:00:00,70.460945,Mission,34.2473,-118.4697
2025-01-09 09:00:00,73.163345,Southwest,34.029,-118.284
2025-01-09 09:00:00,72.4181,Wilshire,34.0782,-118.3695
2025-01-09 11:00:00,71.17986,Mission,34.216,-118.4678
2025-01-09 12:00:00,74.48821,Hollywood,34.0998,-118.3288
2025-01-09 12:00:00,71.44235,Mission,34.2354,-118.4481
2025-01-09 12:00:00,74.58534,Southwest,34.0037,-118.2915
2025-01-09 13:00:00,74.95316,Hollywood,34.098,-118.3445
2025-01-09 14:00:00,75.702866,Hollywood,34.1007,-118.3494
2025-01-09 15:00:00,74.800674,Topanga,34.2128,-118.5913
2025-01-09 16:00:00,75.20605,Mission,34.2232,-118.4488
2025-01-09 16:00:00,75.71717,Topanga,34.2197,-118.606
2025-01-09 17:00:00,79.36056,Southwest,34.0328,-118.2915
2025-01-09 17:00:00,78.099304,Wilshire,34.0542,-118.3702
2025-01-09 18:00:00,79.33961,Wilshire,34.0489,-118.3407
2025-01-09 19:00:00,79.91389,Hollywood,34.098,-118.3252
2025-01-09 19:00:00,82.40253,Southwest,34.0178,-118.3354
2025-01-09 19:00:00,79.470955,Topanga,34.2155,-118.6016
2025-01-09 20:00:00,80.92597,Hollywood,34.103,-118.3225
2025-01-09 20:00:00,80.89258,Topanga,34.2047,-118.5688
2025-01-09 20:00:00,82.51775,Wilshire,34.0475,-118.325
2025-01-09 21:00:00,82.11701,Hollywood,34.098,-118.3223
2025-01-09 22:00:00,86.59787,Southwest,34.0053,-118.3013
2025-01-09 23:00:00,87.27805,Wilshire,34.0782,-118.3695
2025-01-10 00:00:00,79.07694,Southwest,34.0046,-118.2872
2025-01-10 00:00:00,74.13064,Topanga,34.2126,-118.6262
2025-01-10 01:00:00,77.98246,Southwest,34.0199,-118.3249
2025-01-10 02:00:00,76.6761,Mission,34.2319,-118.4676
2025-01-10 03:00:00,79.18632,Hollywood,34.098,-118.3223
2025-01-10 04:00:00,75.29836,Southwest,34.0037,-118.297
2025-01-10 05:00:00,72.12465,Mission,34.3199,-118.4293
2025-01-10 05:00:00,74.67997,Southwest,34.0,-118.3247
2025-01-10 06:00:00,76.61879,Hollywood,34.1032,-118.3374
2025-01-10 06:00:00,71.36439,Mission,34.3045,-118.4355
2025-01-10 06:00:00,73.57193,Southwest,34.0326,-118.3374
2025-01-10 07:00:00,70.2515,Topanga,34.2112,-118.5858
2025-01-10 08:00:00,75.302864,Hollywood,34.0908,-118.3012
2025-01-10 09:00:00,74.59936,Hollywood,34.1079,-118.3337
2025-01-10 12:00:00,73.55695,Wilshire,34.0692,-118.3472
2025-01-10 14:00:00,71.85584,Mission,34.3157,-118.4537
2025-01-10 14:00:00,76.33642,Southwest,34.0173,-118.3016
2025-01-10 15:00:00,73.00669,Mission,34.3049,-118.4756
2025-01-10 16:00:00,76.862236,Wilshire,34.0483,-118.3409
2025-01-10 17:00:00,77.76471,Hollywood,34.1005,-118.3205
2025-01-10 17:00:00,74.72914,Mission,34.3109,-118.4396
2025-01-10 17:00:00,77.67608,Wilshire,34.0782,-118.3711
2025-01-10 18:00:00,78.927086,Topanga,34.1728,-118.6211
2025-01-10 19:00:00,80.017334,Hollywood,34.0865,-118.3169
2025-01-10 19:00:00,78.38997,Mission,34.2337,-118.4553
2025-01-10 19:00:00,79.26641,Topanga,34.2182,-118.5798
2025-01-10 21:00:00,82.11631,Hollywood,34.0918,-118.3109
2025-01-10 22:00:00,83.018074,Hollywood,34.1084,-118.3213
2025-01-10 22:00:00,80.92349,Mission,34.3172,-118.4848
2025-01-10 22:00:00,85.36855,Wilshire,34.0746,-118.3236
2025-01-10 23:00:00,82.019714,Mission,34.3101,-118.4273
2025-01-10 23:00:00,87.44919,Wilshire,34.0495,-118.3215
2025-01-11 00:00:00,82.951225,Hollywood,34.0998,-118.3325
