DATE OCC,TIME OCC,Total Score,AREA NAME,LAT,LON
2025-01-07,13.0,95.0,Southwest,34.0109,-118.3089
2025-01-07,14.0,25.0,Mission,34.2165,-118.461
2025-01-07,14.0,45.0,Southwest,34.0337,-118.2915
2025-01-07,15.0,25.0,Mission,34.3167,-118.4752
2025-01-07,15.0,45.0,Southwest,34.036,-118.289
2025-01-07,15.0,70.0,Topanga,34.1569,-118.6058
2025-01-07,16.0,25.0,Wilshire,34.0782,-118.3573
2025-01-07,17.0,115.0,Hollywood,34.0944,-118.3201
2025-01-07,17.0,115.0,Mission,34.2265,-118.4565
2025-01-07,17.0,70.0,Southwest,34.0291,-118.3535
2025-01-07,18.0,45.0,Mission,34.3077,-118.4133
2025-01-07,18.0,70.0,Southwest,34.0282,-118.3133
2025-01-07,18.0,45.0,Topanga,34.2061,-118.5694
2025-01-07,18.0,90.0,Wilshire,34.0761,-118.3563
2025-01-07,19.0,70.0,Southwest,34.0151,-118.3472
2025-01-07,20.0,70.0,Southwest,34.0084,-118.3276
2025-01-07,21.0,70.0,Topanga,34.2209,-118.6027
2025-01-07,22.0,70.0,Hollywood,34.0889,-118.3244
2025-01-07,22.0,70.0,Topanga,34.1908,-118.6541
2025-01-07,23.0,45.0,Mission,34.2389,-118.4378
2025-01-07,23.0,70.0,Southwest,34.0326,-118.3224
2025-01-08,0.0,25.0,Southwest,34.033,-118.3583
2025-01-08,0.0,70.0,Wilshire,34.0516,-118.3219
2025-01-08,1.0,70.0,Mission,34.3088,-118.4532
2025-01-08,1.0,70.0,Southwest,34.0165,-118.3002
2025-01-08,1.0,70.0,Topanga,34.1878,-118.6161
2025-01-08,2.0,70.0,Hollywood,34.0993,-118.3159
2025-01-08,2.0,90.0,Mission,34.228,-118.4517
2025-01-08,4.0,70.0,Southwest,34.0313,-118.3547
2025-01-08,4.0,70.0,Wilshire,34.0524,-118.3711
2025-01-08,7.0,70.0,Hollywood,34.0929,-118.3048
2025-01-08,9.0,70.0,Hollywood,34.1271,-118.3196
2025-01-08,9.0,70.0,Mission,34.2336,-118.4517
2025-01-08,9.0,25.0,Topanga,34.2091,-118.6157
2025-01-08,10.0,45.0,Topanga,34.1599,-118.6238
2025-01-08,10.0,70.0,Wilshire,34.0558,-118.3649
2025-01-08,11.0,140.0,Southwest,34.0336,-118.3441
2025-01-08,12.0,25.0,Mission,34.2301,-118.4633
2025-01-08,12.0,70.0,Southwest,34.0146,-118.2872
2025-01-08,14.0,25.0,Hollywood,34.1036,-118.3137
2025-01-08,14.0,45.0,Southwest,34.023,-118.351
2025-01-08,14.0,70.0,Topanga,34.1942,-118.6234
2025-01-08,15.0,70.0,Hollywood,34.0981,-118.3114
2025-01-08,17.0,25.0,Hollywood,34.0993,-118.3092
2025-01-08,18.0,70.0,Hollywood,34.1016,-118.3433
2025-01-08,18.0,70.0,Topanga,34.2202,-118.5754
2025-01-08,19.0,70.0,Mission,34.2318,-118.4553
2025-01-08,19.0,45.0,Southwest,34.0082,-118.3263
2025-01-08,19.0,70.0,Wilshire,34.0638,-118.3683
2025-01-08,20.0,45.0,Wilshire,34.0557,-118.3254
2025-01-08,21.0,140.0,Mission,34.2184,-118.4698
2025-01-08,21.0,25.0,Topanga,34.1679,-118.5804
2025-01-08,22.0,140.0,Southwest,34.011,-118.288
2025-01-08,22.0,45.0,Wilshire,34.0604,-118.34
2025-01-08,23.0,45.0,Topanga,34.201,-118.6003
2025-01-08,23.0,70.0,Wilshire,34.0404,-118.3475
2025-01-09,0.0,25.0,Southwest,34.0001,-118.3192
2025-01-09,0.0,25.0,Wilshire,34.0498,-118.3706
2025-01-09,1.0,70.0,Southwest,34.0327,-118.3101
2025-01-09,1.0,70.0,Topanga,34.1878,-118.6161
2025-01-09,2.0,45.0,Hollywood,34.0876,-118.3091
2025-01-09,4.0,45.0,Mission,34.31,-118.4808
2025-01-09,7.0,45.0,Hollywood,34.1042,-118.305
2025-01-09,7.0,90.0,Southwest,34.0326,-118.3308
2025-01-09,9.0,45.0,Hollywood,34.0907,-118.3386
2025-01-09,9.0,45.0,Mission,34.2473,-118.4697
2025-01-09,9.0,90.0,Southwest,34.029,-118.284
2025-01-09,9.0,45.0,Wilshire,34.0782,-118.3695
2025-01-09,11.0,70.0,Mission,34.216,-118.4678
2025-01-09,12.0,25.0,Hollywood,34.0998,-118.3288
2025-01-09,12.0,165.0,Mission,34.2354,-118.4481
2025-01-09,12.0,185.0,Southwest,34.0037,-118.2915
2025-01-09,13.0,70.0,Hollywood,34.098,-118.3445
2025-01-09,14.0,160.0,Hollywood,34.1007,-118.3494
2025-01-09,15.0,25.0,Topanga,34.2128,-118.5913
2025-01-09,16.0,115.0,Mission,34.2232,-118.4488
2025-01-09,16.0,70.0,Topanga,34.2197,-118.606
2025-01-09,17.0,70.0,Southwest,34.0328,-118.2915
2025-01-09,17.0,70.0,Wilshire,34.0542,-118.3702
2025-01-09,18.0,70.0,Wilshire,34.0489,-118.3407
2025-01-09,19.0,115.0,Hollywood,34.098,-118.3252
2025-01-09,19.0,70.0,Southwest,34.0178,-118.3354
2025-01-09,19.0,70.0,Topanga,34.2155,-118.6016
2025-01-09,20.0,70.0,Hollywood,34.103,-118.3225
2025-01-09,20.0,45.0,Topanga,34.2047,-118.5688
2025-01-09,20.0,70.0,Wilshire,34.0475,-118.325
2025-01-09,21.0,90.0,Hollywood,34.098,-118.3223
2025-01-09,22.0,45.0,Southwest,34.0053,-118.3013
2025-01-09,23.0,90.0,Wilshire,34.0782,-118.3695
2025-01-10,0.0,140.0,Southwest,34.0046,-118.2872
2025-01-10,0.0,140.0,Topanga,34.2126,-118.6262
2025-01-10,1.0,45.0,Southwest,34.0199,-118.3249
2025-01-10,2.0,45.0,Mission,34.2319,-118.4676
2025-01-10,3.0,70.0,Hollywood,34.098,-118.3223
2025-01-10,4.0,45.0,Southwest,34.0037,-118.297
2025-01-10,5.0,45.0,Mission,34.3199,-118.4293
2025-01-10,5.0,70.0,Southwest,34.0,-118.3247
2025-01-10,6.0,90.0,Hollywood,34.1032,-118.3374
2025-01-10,6.0,115.0,Mission,34.3045,-118.4355
2025-01-10,6.0,70.0,Southwest,34.0326,-118.3374
2025-01-10,7.0,45.0,Topanga,34.2112,-118.5858
2025-01-10,8.0,25.0,Hollywood,34.0908,-118.3012
2025-01-10,9.0,70.0,Hollywood,34.1079,-118.3337
2025-01-10,12.0,25.0,Wilshire,34.0692,-118.3472
2025-01-10,14.0,70.0,Mission,34.3157,-118.4537
2025-01-10,14.0,50.0,Southwest,34.0173,-118.3016
2025-01-10,15.0,185.0,Mission,34.3049,-118.4756
2025-01-10,16.0,70.0,Wilshire,34.0483,-118.3409
2025-01-10,17.0,70.0,Hollywood,34.1005,-118.3205
2025-01-10,17.0,70.0,Mission,34.3109,-118.4396
2025-01-10,17.0,140.0,Wilshire,34.0782,-118.3711
2025-01-10,18.0,45.0,Topanga,34.1728,-118.6211
2025-01-10,19.0,70.0,Hollywood,34.0865,-118.3169
2025-01-10,19.0,70.0,Mission,34.2337,-118.4553
2025-01-10,19.0,45.0,Topanga,34.2182,-118.5798
2025-01-10,21.0,70.0,Hollywood,34.0918,-118.3109
2025-01-10,22.0,70.0,Hollywood,34.1084,-118.3213
2025-01-10,22.0,70.0,Mission,34.3172,-118.4848
2025-01-10,22.0,70.0,Wilshire,34.0746,-118.3236
2025-01-10,23.0,45.0,Mission,34.3101,-118.4273
2025-01-10,23.0,70.0,Wilshire,34.0495,-118.3215
2025-01-11,0.0,70.0,Hollywood,34.0998,-118.3325
2025-01-11,0.0,90.0,Southwest,34.0099,-118.3089
2025-01-11,0.0,70.0,Topanga,34.2234,-118.5932
2025-01-11,1.0,70.0,Hollywood,34.1034,-118.3325
2025-01-11,1.0,45.0,Mission,34.3198,-118.4622
2025-01-11,2.0,90.0,Mission,34.216,-118.4678
2025-01-11,2.0,70.0,Wilshire,34.0522,-118.3494
2025-01-11,3.0,70.0,Hollywood,34.1043,-118.3224
2025-01-11,3.0,70.0,Southwest,34.0246,-118.297
2025-01-11,3.0,90.0,Topanga,34.2176,-118.6045
2025-01-11,5.0,45.0,Mission,34.2336,-118.4322
2025-01-11,7.0,70.0,Mission,34.3035,-118.419
2025-01-11,8.0,185.0,Southwest,34.021,-118.3029
2025-01-11,11.0,115.0,Southwest,34.0219,-118.3119
2025-01-11,11.0,45.0,Wilshire,34.0735,-118.3828
2025-01-11,12.0,70.0,Mission,34.2127,-118.4309
2025-01-11,12.0,70.0,Southwest,34.0137,-118.3089
2025-01-11,12.0,50.0,Topanga,34.2053,-118.6517
2025-01-11,12.0,25.0,Wilshire,34.0818,-118.3487
2025-01-11,13.0,70.0,Southwest,34.0313,-118.3547
2025-01-11,13.0,140.0,Wilshire,34.0662,-118.3506
2025-01-11,14.0,70.0,Mission,34.2386,-118.4464
2025-01-11,14.0,70.0,Southwest,34.0251,-118.287
2025-01-11,14.0,140.0,Topanga,34.1679,-118.5974
2025-01-11,15.0,45.0,Hollywood,34.0967,-118.3031
2025-01-11,15.0,45.0,Mission,34.2246,-118.4633
2025-01-11,16.0,210.0,Mission,34.2353,-118.4404
2025-01-11,16.0,70.0,Southwest,34.0055,-118.3193
2025-01-11,17.0,70.0,Hollywood,34.1016,-118.332
2025-01-11,17.0,70.0,Mission,34.2297,-118.4463
2025-01-11,17.0,70.0,Southwest,34.0101,-118.3341
2025-01-11,17.0,90.0,Wilshire,34.0784,-118.3766
2025-01-11,19.0,45.0,Southwest,34.0141,-118.3501
2025-01-11,20.0,45.0,Topanga,34.2047,-118.5688
2025-01-11,20.0,45.0,Wilshire,34.0418,-118.3269
2025-01-11,21.0,140.0,Wilshire,34.0722,-118.3816
2025-01-11,22.0,70.0,Hollywood,34.1017,-118.3224
2025-01-11,22.0,70.0,Mission,34.3074,-118.4486
2025-01-11,22.0,45.0,Southwest,34.0295,-118.3417
2025-01-11,23.0,70.0,Hollywood,34.1017,-118.3245
2025-01-11,23.0,135.0,Topanga,34.2202,-118.5732
2025-01-12,0.0,70.0,Southwest,34.0091,-118.3402
2025-01-12,0.0,70.0,Topanga,34.2198,-118.6003
2025-01-12,1.0,70.0,Hollywood,34.0998,-118.3211
2025-01-12,1.0,70.0,Southwest,34.0093,-118.2872
2025-01-12,2.0,70.0,Hollywood,34.1016,-118.3333
2025-01-12,2.0,70.0,Mission,34.2143,-118.4362
2025-01-12,3.0,70.0,Wilshire,34.0507,-118.3761
2025-01-12,4.0,160.0,Southwest,34.0325,-118.3557
2025-01-12,6.0,70.0,Mission,34.2247,-118.4677
2025-01-12,7.0,70.0,Mission,34.2747,-118.4696
2025-01-12,8.0,45.0,Topanga,34.2243,-118.6043
2025-01-12,11.0,140.0,Southwest,33.9993,-118.3244
2025-01-12,11.0,45.0,Wilshire,34.079,-118.3248
2025-01-12,13.0,160.0,Mission,34.239,-118.4481
2025-01-12,14.0,70.0,Hollywood,34.1016,-118.3433
2025-01-12,14.0,70.0,Mission,34.2386,-118.4464
2025-01-12,15.0,90.0,Mission,34.2318,-118.4503
2025-01-12,15.0,135.0,Southwest,34.0077,-118.3383
2025-01-12,15.0,70.0,Topanga,34.1865,-118.6103
2025-01-12,16.0,140.0,Hollywood,34.098,-118.3273
2025-01-12,17.0,115.0,Mission,34.2467,-118.4479
2025-01-12,17.0,70.0,Southwest,34.0256,-118.3205
2025-01-12,18.0,70.0,Hollywood,34.1016,-118.3361
2025-01-12,18.0,140.0,Wilshire,34.0838,-118.3574
2025-01-12,19.0,90.0,Southwest,34.0204,-118.2809
2025-01-12,19.0,115.0,Wilshire,34.0375,-118.3742
2025-01-12,20.0,90.0,Hollywood,34.0854,-118.3091
2025-01-12,20.0,70.0,Southwest,34.0163,-118.3536
2025-01-12,20.0,45.0,Topanga,34.1921,-118.5906
